drinker,item
"Catherine Faulkner","Smores Layer Cake"
"Catherine Faulkner","Farmer Wirtz India Pale Ale"
"Catherine Faulkner","Southern Drawl Pale Lager"
"Catherine Faulkner","Chicken Piccata"
"Catherine Faulkner","Barrio Blanco"
"Catherine Faulkner","Shrimp and Chicken Gumbo"
"Clarissa Price","Mountain Fairy Raspberry Wheat"
"Clarissa Price","Blood Orange Honey"
"Clarissa Price","Vietnamese Shrimp Summer Rolls"
"Clarissa Price","077XX"
"Clarissa Price","Sausage and Ricotta Flatbread"
"Clarissa Price","Jamaican Black Pepper Chicken"
"Clarissa Price","Iced Coffees"
"Marisol Duncan","Wandering Pelican"
"Marisol Duncan","Beach Patrol"
"Marisol Duncan","Rod Bender Red"
"Helen Fuentes","Category 3 IPA"
"Helen Fuentes","Warm Apple Crostata"
"Helen Fuentes","Bent Paddle Black Ale"
"Helen Fuentes","Lemon Cream Cake"
"Madyson Owen","Bikini Beer"
"Madyson Owen","Parmesan-Garlic Cheese Bread"
"Madyson Owen","Peach-Mango Smoothie"
"Madyson Owen","Maduro Brown Ale"
"Madyson Owen","Fish Tacos"
"Madyson Owen","Plow Horse Belgian Style Imperial Stout"
"Madyson Owen","077XX"
"Madyson Owen","Chicken Marsala and Mushrooms"
"Zayden Salazar","Great Crescent Belgian Style Wit"
"Zayden Salazar","Fried Calamari"
"Zayden Salazar","Unlimited Our Famous House Salad"
"Zayden Salazar","Summer Honey"
"Zayden Salazar","Southern Drawl Pale Lager"
"Zayden Salazar","Spinach-Artichoke Dip"
"Zayden Salazar","Acqua Panna Spring"
"Zayden Salazar","Cheese Pizza"
"Claire Hoover","Coq D'Or"
"Claire Hoover","Chicken & Biscuits"
"Claire Hoover","Gutch English Style Mild Ale"
"Claire Hoover","Meat Sauce with Choice of Pasta"
"German Nelson","Copperhead Amber"
"German Nelson","Margherita Pizza"
"German Nelson","Chicken Parmesan Sandwich"
"German Nelson","Heavy Lifting"
"German Nelson","Psychopomp"
"German Nelson","Shrimp Scampi"
"German Nelson","Sex and Candy"
"Kara Carrillo","Chicken Pot Stickers"
"Kara Carrillo","Coq de la Marche"
"Kara Carrillo","Crispy Cuban Rolls"
"Ezra Harvey","Dynamite Shrimp"
"Ezra Harvey","Fall Hornin'"
"Ezra Harvey","Bent Paddle Black Ale"
"Ezra Harvey","Salmon Piccata"
"Ezra Harvey","312 Urban Wheat Ale"
"Bruno Lloyd","Crusted Chicken Romano"
"Kenna Garza","Fried Mozzarella"
"Kenna Garza","Barney Flats Oatmeal Stout"
"Kenna Garza","Coq de la Marche"
"Kenna Garza","Chicken with Lemon Couscous"
"Kenna Garza","Bikini Beer"
"Kenna Garza","Greek Salad"
"Kenna Garza","Sawtooth Ale"
"Scarlet Villarreal","Fall Hornin'"
"Scarlet Villarreal","Cannoli Trio"
"Scarlet Villarreal","Orange Grove Wheat Ale"
"Scarlet Villarreal","Cut Throat Pale Ale"
"Scarlet Villarreal","General George Patton Pilsner"
"Baylee Lawrence","Twisted Helles Summer Lager"
"Baylee Lawrence","Bikini Beer"
"Baylee Lawrence","Raspberry Lemonade"
"Baylee Lawrence","Kilt Dropper Scotch Ale"
"Baylee Lawrence","Dead Armadillo Amber Ale"
"Kaylynn Small","Live Local Golden Ale"
"Kaylynn Small","Caramel Hazelnut Macchiato"
"Kaylynn Small","Old Fashioned Burger"
"Kaylynn Small","Fish Tacos"
"Kaylynn Small","Fresh Basil, Tomato, and Cheese Flatbread"
"Aron Richards","Fettuccine Alfredo"
"Aron Richards","Extra Breadsticks!"
"Aron Richards","Cut Throat Pale Ale"
"Aron Richards","Rod Bender Red"
"Aron Richards","Shrimp Alfredo"
"Aylin Gutierrez","Fried Macaroni and Cheese"
"Aylin Gutierrez","MCA"
"Aylin Gutierrez","Hop Stalker Fresh Hop IPA"
"Aylin Gutierrez","Rye Porter"
"Aylin Gutierrez","Watermelon Ale"
"Monique Branch","Family-Style Lasagna Bundle"
"Monique Branch","Cannoli Trio"
"Monique Branch","Fruit Juices"
"Monique Branch","Crispy Crab Wontons"
"Brian Leon","Sudice American Stout"
"Brian Leon","Smokehouse BBQ Burger"
"Brian Leon","Brush Creek Blonde"
"Brian Leon","Create A Sampler Italiano"
"Brian Leon","Vietnamese Shrimp Summer Rolls"
"Mara Cervantes","Polar Pale Ale"
"Mara Cervantes","Heinnieweisse Weissebier"
"Mara Cervantes","Barney Flats Oatmeal Stout"
"Mara Cervantes","Watermelon Ale"
"Hadassah Marsh","Oatmeal PSA"
"Lukas Stanton","Devils Tramping Ground Tripel"
"Lukas Stanton","Contemplation"
"Lukas Stanton","Crispy Crab Wontons"
"Kamari Vargas","Black Tie Mousse Cake"
"Kamari Vargas","Noche Dulce"
"Kamari Vargas","Seiche Scottish Ale"
"Keyon Powers","Mountain Fairy Raspberry Wheat"
"Keyon Powers","Rye Pils Session Lager"
"Keyon Powers","Parmesan-Garlic Cheese Bread"
"Keyon Powers","Moose Drool Brown Ale"
"Keyon Powers","Crispy Chicken Costoletta"
"Keyon Powers","Jamaican Black Pepper Chicken"
"Keyon Powers","The Grand Army"
"Keyon Powers","Miso Salmon"
"Molly Ponce","Cannoli Trio"
"Molly Ponce","Point the Way IPA"
"Molly Ponce","1492"
"Molly Ponce","Seafood Alfredo"
"Molly Ponce","Steak Gorgonzola-Alfredo"
"Molly Ponce","The Citizen"
"Molly Ponce","Five Italian Cheese Fonduta"
"Jameson Best","Unlimited Our Famous House Salad"
"Jameson Best","Awry Rye Pale Ale"
"Jameson Best","Firecracker Salmon"
"Jameson Best","Coq D'Or"
"Jameson Best","Southern Fried Catfish"
"Jameson Best","Greek Salad"
"Jameson Best","Stuffed Chicken Marsala"
"Jameson Best","Dry Hard Apple Cider"
"Toby Combs","Plow Horse Belgian Style Imperial Stout"
"Toby Combs","Gutch English Style Mild Ale"
"Charlotte Garrett","The Everything Pizza"
"Charlotte Garrett","Chicken Fingers, and Pasta"
"Charlotte Garrett","Teriyaki Chicken"
"Charlotte Garrett","Angry Orchard Crisp Apple"
"Charlotte Garrett","Acqua Panna Spring"
"Charlotte Garrett","Shepherd's Pie"
"Charlotte Garrett","Cheese Ravioli"
"Charlotte Garrett","Herb-Grilled Salmon"
"Charlotte Garrett","Crusted Chicken Romano"
"Charlotte Garrett","Italian Ice Milkshake"
"Darion Stevens","Caffè Latte"
"Darion Stevens","Kiwi-Melon Limonata"
"Darion Stevens","Old Detroit"
"Darion Stevens","Dip Duo"
"Darion Stevens","London Balling"
"Brennan Whitney","Braised Beef and Tortelloni"
"Brennan Whitney","Shrimp Carbonara"
"Ralph Mathews","ToGo Fountain Drinks"
"Ralph Mathews","Cut Throat Pale Ale"
"Ralph Mathews","Big Elm IPA"
"Milagros Davidson","Toasted Lager"
"Milagros Davidson","Smokehouse BBQ Burger"
"Milagros Davidson","Greenbelt Farmhouse Ale"
"Milagros Davidson","Fort Pitt Ale"
"Milagros Davidson","Cut Throat Pale Ale"
"Milagros Davidson","Chicken Bellagio"
"Milagros Davidson","Citra Ass Down"
"Milagros Davidson","Rye Porter"
"Milagros Davidson","El Hefe Speaks"
"Milagros Davidson","Miso Salmon"
"Milagros Davidson","543 Skull Creek Fresh Hopped Pale Ale"
"Carina Pham","Margherita Pizza"
"Carina Pham","Chicken Fingers, and Pasta"
"Carina Pham","Rye Pils Session Lager"
"Carina Pham","Akari Shogun American Wheat Ale"
"Carina Pham","Tomato Sauce with Choice of Pasta"
"Luis Hunt","Eggplant Parmesan"
"Luis Hunt","Grilled Turkey Burger"
"Luis Hunt","Firecracker Salmon"
"Luis Hunt","Parmesan-Garlic Cheese Bread"
"Luis Hunt","6 oz Sirloin with Fettuccine Alfredo"
"Luis Hunt","ToGo Fountain Drinks"
"Luis Hunt","Oatmeal PSA"
"Luis Hunt","Devils Tramping Ground Tripel"
"Kyla Baird","Toasted Lager"
"Kyla Baird","Grilled Turkey Burger"
"Kyla Baird","Peach-Mango Smoothie"
"Kyla Baird","Black Exodus"
"Kyla Baird","Crispy Chicken Costoletta"
"Kyla Baird","Chugach Session Ale"
"Alonzo Vasquez","Crabcakes"
"Alonzo Vasquez","Pizza"
"Ahmed Castillo","Horny Toad Cerveza"
"Ahmed Castillo","Meat Sauce with Choice of Pasta"
"Ahmed Castillo","Big Elm IPA"
"Ahmed Castillo","Stone's Throw IPA"
"Ahmed Castillo","East India Pale Ale"
"Ahmed Castillo","Classic Shrimp Scampi Fritta"
"Ahmed Castillo","Herbal, and Flavored Hot Teas"
"Ahmed Castillo","Kobe Burger"
"Ahmed Castillo","Bacon-Bacon Cheeseburger"
"Aniya Rangel","Spicy Crispy Chicken Sandwich"
"Aniya Rangel","Bacon-Bacon Cheeseburger"
"Aniya Rangel","Shrimp Carbonara"
"Aniya Rangel","Grilled Chicken and Avocado Club"
"Aniya Rangel","Fresh Brewed Iced Tea"
"Micaela Crane","Awry Rye Pale Ale"
"Micaela Crane","Rye Pils Session Lager"
"Micaela Crane","Hopportunity Knocks IPA"
"Micaela Crane","Crispy Crab Bites"
"Micaela Crane","Veggie Melt"
"Micaela Crane","Shrimp Alfredo"
"Micaela Crane","Mountain Livin' Pale Ale"
"Micaela Crane","Sex and Candy"
"Micaela Crane","Iced Coffees"
"Maliyah Good","Newport Storm IPA"
"Maliyah Good","Hot Coffee"
"Maliyah Good","Greenbelt Farmhouse Ale"
"Maliyah Good","Caldera IPA"
"Maliyah Good","Fish Tacos"
"Maliyah Good","Shrimp Carbonara"
"Maliyah Good","Freeride APA"
"Maliyah Good","Fried Shrimp Platter"
"Ashlynn Diaz","Family-Style Lasagna Bundle"
"Ashlynn Diaz","Gutch English Style Mild Ale"
"Ashlynn Diaz","Wolfman's Berliner"
"Ashlynn Diaz","Fisherman's Brew"
"Ashlynn Diaz","Loaded Pasta Chips"
"Paityn Jenkins","Mountain Fairy Raspberry Wheat"
"Paityn Jenkins","Summer Honey"
"Paityn Jenkins","Quick Wit Belgianesque Ale"
"Paityn Jenkins","Southern Fried Catfish"
"Paityn Jenkins","Big Star White IPA"
"Paityn Jenkins","Star Runner"
"Paityn Jenkins","Angry Orchard Crisp Apple"
"Paityn Jenkins","Lucky Buck"
"Paityn Jenkins","Green Collar"
"Paityn Jenkins","Tomato Sauce with Choice of Pasta"
"Paityn Jenkins","Chargrilled Coulotte Steak"
"Paityn Jenkins","Macaroni and Cheese"
"Paityn Jenkins","Wandering Pelican"
"Paityn Jenkins","Lasagna Classico"
"Ramon Schmitt","Misty Mountain IPA"
"Ramon Schmitt","Beach Patrol"
"Ramon Schmitt","Rhode Island Blueberry"
"Wendy Shepherd","Wrath of Pele"
"Wendy Shepherd","Sex and Candy"
"Wendy Shepherd","Kiwi-Melon Limonata"
"Wendy Shepherd","East India Pale Ale"
"Wendy Shepherd","Kilt Dropper Scotch Ale"
"Wendy Shepherd","Dip Duo"
"Wendy Shepherd","Chicken Margherita"
"Wendy Shepherd","Green Collar"
"Wendy Shepherd","Calamari"
"Wendy Shepherd","Lemon-Herb Roasted Chicken"
"Wendy Shepherd","Chugach Session Ale"
"Wendy Shepherd","Miso Salmon"
"Curtis Richardson","Behemoth"
"Curtis Richardson","Little Boss"
"Curtis Richardson","Dundee Summer Wheat Beer"
"Victoria Roman","Brotherhood Steam"
"Victoria Roman","South Ridge Amber Ale"
"Victoria Roman","Sawtooth Ale"
"Levi Walsh","Herbal, and Flavored Hot Teas"
"Levi Walsh","Watermelon Ale"
"Levi Walsh","Veggie Melt"
"Levi Walsh","White Chicken Chili"
"Regan Taylor","Norm's Raggedy Ass IPA"
"Regan Taylor","Smokehouse BBQ Burger"
"Regan Taylor","Twisted Helles Summer Lager"
"Regan Taylor","HopArt"
"Regan Taylor","Dolcini (mini dessert)"
"Regan Taylor","Rod Bender Red"
"Regan Taylor","Chicken Marsala and Mushrooms"
"Tianna Schmidt","The Gadget"
"Tianna Schmidt","Dolores River ESB"
"Tianna Schmidt","Sweet Corn Tamale Cakes"
"Tianna Schmidt","Rye Pils Session Lager"
"Tianna Schmidt","East India Pale Ale"
"Tianna Schmidt","Churchkey Pilsner Style Beer"
"Tianna Schmidt","Pizza"
"Michelle Snyder","Heinnieweisse Weissebier"
"Michelle Snyder","Powder Hound Winter Ale"
"Michelle Snyder","Stuffed Chicken Tortillas"
"Bailey Hanson","Fresh Kale Salad"
"Bailey Hanson","Grilled Chicken Parmigiana"
"Bailey Hanson","Sundae"
"Bailey Hanson","Hop Stalker Fresh Hop IPA"
"Brendon Silva","Warm Apple Crostata"
"Tommy Schroeder","Stone's Throw IPA"
"Tommy Schroeder","White Zombie Ale"
"Tommy Schroeder","Tomato Sauce with Choice of Pasta"
"Tommy Schroeder","Loaded Backed Potato Tots"
"Skyler Wall","Angry Orchard Crisp Apple"
"Skyler Wall","Dip Duo"
"Skyler Wall","Psychopomp"
"Skyler Wall","Lucky Buck"
"Skyler Wall","Quesadilla with Chicken"
"Myah Walters","Hopportunity Knocks IPA"
"Myah Walters","Chargrilled Coulotte Steak"
"Myah Walters","Teriyaki Chicken"
"Vance Merritt","Sky Blue Golden Ale"
"Vance Merritt","Spicy Crispy Chicken Sandwich"
"Darryl Rosario","Chicken Di Pana"
"Darryl Rosario","Spicy Shrimp Scampi Fritta"
"Darryl Rosario","Hop Stalker Fresh Hop IPA"
"Darryl Rosario","Green Bullet Organic India Pale Ale"
"Melissa Davenport","Fearless Scottish Ale"
"Melissa Davenport","Dynamite Shrimp"
"Melissa Davenport","Peach-Mango Smoothie"
"Melissa Davenport","Sundae"
"Melissa Davenport","Harvest Ale"
"Melissa Davenport","London Balling"
"Melissa Davenport","Noche Dulce"
"Melissa Davenport","Shrimp and Chicken Gumbo"
"Kyra Shannon","Chicken & Biscuits"
"Kyra Shannon","Beaver Logger"
"Kyra Shannon","Crispy Cuban Rolls"
"Hayden Hardy","Chicken Samosas"
"Hayden Hardy","Beaver Logger"
"Hayden Hardy","Mountain Fairy Raspberry Wheat"
"Hayden Hardy","Raspberry Lemonade"
"Hayden Hardy","Old Detroit"
"Hayden Hardy","Dip Duo"
"Hayden Hardy","Spicy Calabrian Chicken"
"Hayden Hardy","Green Collar"
"Hayden Hardy","North French"
"Hayden Hardy","Chicken Salad Sandwich"
"Pamela Hobbs","HopArt"
"Pamela Hobbs","Tiramisu"
"Pamela Hobbs","Chargrilled Coulotte Steak"
"Haylie Munoz","Barney Flats Oatmeal Stout"
"Haylie Munoz","Farmer Wirtz India Pale Ale"
"Haylie Munoz","Thai Glazed Salmon"
"Haylie Munoz","Churchkey Pilsner Style Beer"
"Haylie Munoz","Beets With Goat Cheese"
"Haylie Munoz","Chargrilled Coulotte Steak"
"Madalynn Flores","Little Boss"
"Madalynn Flores","Southern Drawl Pale Lager"
"Heaven Miles","Southern Drawl Pale Lager"
"Heaven Miles","Spinach-Artichoke Dip"
"Heaven Miles","Grilled Chicken and Avocado Club"
"Heaven Miles","077XX"
"Heaven Miles","Chicken Marsala and Mushrooms"
"Heaven Miles","Solitude"
"Heaven Miles","Orange Chicken"
"Heaven Miles","Sex and Candy"
"Heaven Miles","Dipping Sauces includes 4 Breadsticks"
"Alonso Park","Smores Layer Cake"
"Alonso Park","West Portal Colorado Common Summer Ale"
"Alonso Park","Polar Pale Ale"
"Alonso Park","Quick Wit Belgianesque Ale"
"Alonso Park","Crispy Fried Cheese"
"Alonso Park","The Grand Army"
"Alonso Park","The Citizen"
"Alonso Park","Chugach Session Ale"
"Juliana Johns","Roasted Pear and Blue Cheese Flatbread"
"Juliana Johns","Arkansas Red"
"Juliana Johns","Loaded Backed Potato Tots"
"Juliana Johns","Chicken Bellagio"
"Juliana Johns","The Grand Army"
"Aubree Wright","El Hefe Speaks"
"Aubree Wright","Fisherman's Brew"
"Aubree Wright","Greek Salad"
"Aubree Wright","Beach Patrol"
"Aubree Wright","Freeride APA"
"Aubree Wright","Miso Salmon"
"Kelsie Coleman","Cone Crusher"
"Kelsie Coleman","Powder Hound Winter Ale"
"Avah Tucker","Southern Drawl Pale Lager"
"Avah Tucker","Cannoli Trio"
"Avah Tucker","Thai Lettuce Wraps"
"Avah Tucker","Calamari"
"Avah Tucker","Seasonal Sicilian Cheesecake"
"Kaitlyn French","Barney Flats Oatmeal Stout"
"Kaitlyn French","Little Boss"
"Kaitlyn French","Whitsun"
"Kaitlyn French","Sundae"
"Carleigh Gross","Southwest Chicken Sandwich"
"Carleigh Gross","Heavy Lifting"
"Carleigh Gross","Norm's Raggedy Ass IPA"
"Carleigh Gross","Smores Layer Cake"
"Renee Francis","Zeppoli"
"Renee Francis","Bozone Hefe Weizen"
