trans_id,day,time,date,bar,drinker,tip,total
1,5,17:11:29,"2017-05-25 17:11:29","Dillinger's Inc","Catherine Faulkner",0.75,37.44
2,3,21:53:04,"2016-04-26 21:53:04","Club 101","Catherine Faulkner",4.54,113.42
3,3,00:32:55,"2016-10-11 00:32:55","Dillinger's Inc","Catherine Faulkner",1.29,10.72
4,7,22:49:25,"2017-06-24 22:49:25","Club 101","Catherine Faulkner",0.18,18.16
5,7,23:41:27,"2017-04-08 23:41:27","Club 101","Catherine Faulkner",5.41,90.15
6,4,14:39:30,"2016-07-13 14:39:30","Club Paragon","Catherine Faulkner",0.28,27.81
7,6,20:28:06,"2017-08-25 20:28:06","Club 101","Catherine Faulkner",4.62,42.03
8,6,15:42:18,"2016-01-22 15:42:18","Dillinger's Inc","Catherine Faulkner",7.38,49.17
9,6,16:44:02,"2017-06-30 16:44:02","Dillinger's Inc","Catherine Faulkner",1.62,32.45
10,5,22:55:49,"2016-01-28 22:55:49","Club 101","Catherine Faulkner",3.17,26.43
11,4,23:35:58,"2016-03-23 23:35:58","Dillinger's Inc","Catherine Faulkner",4.85,53.84
12,5,21:45:07,"2016-09-01 21:45:07","Club 101","Catherine Faulkner",0.96,96.04
13,5,15:46:10,"2016-08-25 15:46:10","Dillinger's Inc","Catherine Faulkner",1.2,40.01
14,1,22:17:27,"2017-01-01 22:17:27","Club 101","Catherine Faulkner",0.84,83.67
15,6,10:32:32,"2016-04-22 10:32:32","Club Paragon","Catherine Faulkner",2.13,70.91
16,4,00:44:25,"2016-02-24 00:44:25","Dillinger's Inc","Catherine Faulkner",2.63,29.17
17,4,12:52:47,"2017-12-27 12:52:47","Club 101","Catherine Faulkner",1.07,10.72
18,2,00:08:57,"2017-01-23 00:08:57","Club 101","Catherine Faulkner",1.36,45.33
19,7,12:07:05,"2017-07-08 12:07:05","Club Paragon","Catherine Faulkner",4.82,60.2
20,6,00:32:18,"2016-01-01 00:32:18","Dillinger's Inc","Catherine Faulkner",0.0,86.4
21,7,14:21:41,"2017-10-14 14:21:41","The Cheesecake Factory","Clarissa Price",0.78,12.97
22,6,18:06:00,"2017-09-15 18:06:00","D & J Web Solutions","Clarissa Price",0.0,156.53
23,7,09:06:39,"2016-12-31 09:06:39","40 Watt Club","Clarissa Price",2.71,45.14
24,3,15:48:29,"2017-02-14 15:48:29","D & J Web Solutions","Clarissa Price",3.71,123.51
25,7,00:49:33,"2017-12-23 00:49:33","D & J Web Solutions","Clarissa Price",18.56,168.73
26,1,15:16:50,"2016-03-06 15:16:50","Atkins Park Tavern","Clarissa Price",5.12,36.54
27,5,20:29:54,"2017-08-17 20:29:54","Apple Inn","Clarissa Price",0.36,35.56
28,5,00:08:34,"2016-03-31 00:08:34","D & J Web Solutions","Clarissa Price",15.81,158.08
29,3,16:22:43,"2017-12-26 16:22:43","The Old Spaghetti Factory","Clarissa Price",3.9,39.03
30,1,14:22:48,"2017-03-26 14:22:48","Pei Wei Asian Diner","Clarissa Price",4.94,49.41
31,2,14:49:42,"2017-05-08 14:49:42","Atkins Park Tavern","Clarissa Price",0.18,8.8
32,5,23:07:33,"2016-11-10 23:07:33","Apple Inn","Clarissa Price",2.41,21.88
33,3,13:31:28,"2017-08-08 13:31:28","D & J Web Solutions","Clarissa Price",1.83,60.89
34,5,21:23:57,"2016-04-28 21:23:57","Señor Frog's","Clarissa Price",0.0,19.06
35,3,12:05:47,"2016-06-28 12:05:47","Pei Wei Asian Diner","Clarissa Price",10.09,77.65
36,2,21:42:39,"2017-12-18 21:42:39","Apple Inn","Clarissa Price",13.46,122.38
37,1,16:48:29,"2017-09-10 16:48:29","Joe's Crab Shack","Clarissa Price",1.91,38.24
38,3,21:33:43,"2017-09-19 21:33:43","The Old Spaghetti Factory","Clarissa Price",2.73,45.53
39,4,17:48:17,"2017-11-15 17:48:17","Joe's Crab Shack","Clarissa Price",1.06,8.14
40,6,13:13:28,"2016-01-01 13:13:28","40 Watt Club","Clarissa Price",0.7,11.66
41,5,08:09:26,"2017-12-21 08:09:26","Maria C. Estabil","Marisol Duncan",11.55,96.28
42,1,01:14:52,"2016-02-21 01:14:52","Vault Night Club","Marisol Duncan",2.01,28.78
43,3,14:14:30,"2017-05-16 14:14:30","Maria C. Estabil","Marisol Duncan",10.29,102.87
44,6,10:48:20,"2017-01-13 10:48:20","Maria C. Estabil","Marisol Duncan",0.0,98.33
45,3,18:07:20,"2016-10-04 18:07:20","Atkins Park Tavern","Marisol Duncan",11.11,79.35
46,4,16:09:28,"2016-06-29 16:09:28","Atkins Park Tavern","Marisol Duncan",4.85,37.29
47,4,21:10:56,"2016-06-29 21:10:56","Maria C. Estabil","Marisol Duncan",1.97,24.63
48,6,09:22:24,"2017-11-24 09:22:24","Vault Night Club","Marisol Duncan",1.51,75.63
49,1,11:19:58,"2017-10-01 11:19:58","Grey Lounge","Marisol Duncan",4.43,34.08
50,2,10:31:17,"2016-12-26 10:31:17","Grey Lounge","Marisol Duncan",16.69,111.26
51,6,23:05:37,"2016-07-15 23:05:37","Grey Lounge","Marisol Duncan",5.67,40.5
52,7,14:10:34,"2016-08-06 14:10:34","Maria C. Estabil","Marisol Duncan",1.27,25.44
53,6,11:05:46,"2016-10-07 11:05:46","Grey Lounge","Marisol Duncan",5.36,41.25
54,4,01:15:32,"2016-07-13 01:15:32","Vault Night Club","Marisol Duncan",3.06,76.54
55,4,15:10:56,"2017-12-27 15:10:56","Atkins Park Tavern","Marisol Duncan",4.08,68.05
