trans_id,day,time,bar,drinker,tip,total
1,6,"152734","Club Paragon","Catherine Faulkner",15.84,105.57
2,2,"213234","Dillinger's Inc","Catherine Faulkner",6.91,53.19
3,3,"164601","Moms Toy Box","Catherine Faulkner",0.0,9.15
4,2,"171833","Wolfs Tavern","Catherine Faulkner",7.09,50.65
5,1,"184816","Club Paragon","Catherine Faulkner",0.0,89.97
6,4,"170926","Friendly's","Clarissa Price",1.11,22.26
7,3,"152543","C C Slaughters Restaurant","Clarissa Price",13.72,124.72
8,2,"004238","Mugshots Bar","Clarissa Price",2.97,98.95
9,5,"235327","Mugshots Bar","Clarissa Price",7.87,131.24
10,2,"154410","C C Slaughters Restaurant","Clarissa Price",3.33,83.19
11,4,"191817","Caledonia Lounge","Marisol Duncan",7.34,91.7
12,2,"174031","Caledonia Lounge","Marisol Duncan",4.59,57.36
13,7,"011236","Gold Hawk","Marisol Duncan",4.42,110.42
14,3,"110909","Caledonia Lounge","Marisol Duncan",2.73,91.04
15,6,"132823","Lone Star Steakhouse & Saloon","Marisol Duncan",7.32,66.56
16,2,"195042","Hurricane Alley","Helen Fuentes",0.36,18.14
17,2,"112815","Chris Cocallas","Helen Fuentes",1.64,14.92
18,6,"131233","Rocket","Helen Fuentes",3.55,44.38
19,6,"192224","Hurricane Alley","Helen Fuentes",0.0,32.29
20,7,"142037","Hurricane Alley","Helen Fuentes",0.66,66.43
21,4,"190900","Benihana","Madyson Owen",6.35,105.9
22,3,"160525","Shank's Tavern","Madyson Owen",3.33,66.6
23,1,"212552","P. F. Chang's China Bistro","Madyson Owen",1.52,38.11
24,1,"171012","C C Slaughters Restaurant","Madyson Owen",7.85,78.48
25,7,"154406","Shank's Tavern","Madyson Owen",1.33,66.6
26,5,"224149","Toc Bar","Zayden Salazar",1.24,124.13
27,2,"133600","Moms Toy Box","Zayden Salazar",0.95,31.75
28,7,"004055","Toc Bar","Zayden Salazar",1.35,135.1
29,2,"213528","LongHorn Steakhouse","Zayden Salazar",3.89,55.52
30,7,"220821","Moms Toy Box","Zayden Salazar",0.5,8.34
31,7,"231342","Joe's Crab Shack","Claire Hoover",9.95,124.32
32,4,"095558","Waffle House","Claire Hoover",0.69,17.21
33,2,"231038","Joe's Crab Shack","Claire Hoover",6.56,109.4
34,6,"114001","Waffle House","Claire Hoover",1.79,12.79
35,4,"003103","Joe's Crab Shack","Claire Hoover",0.96,16.01
36,4,"111040","Famous Dave's","German Nelson",1.18,58.87
37,5,"123334","Famous Dave's","German Nelson",4.09,45.4
38,4,"154708","Famous Dave's","German Nelson",10.19,78.42
39,5,"134804","Famous Dave's","German Nelson",12.69,97.63
40,2,"150536","Famous Dave's","German Nelson",5.43,60.34
41,7,"224823","Arlene's","Kara Carrillo",4.0,44.44
42,4,"184613","Atomic Cantina","Kara Carrillo",7.8,55.74
43,7,"171949","Scores","Kara Carrillo",1.86,37.11
44,3,"213817","Buffalo Wild Wings","Kara Carrillo",0.16,3.16
45,5,"193516","Sportsman","Kara Carrillo",2.73,54.68
46,3,"224411","Big Al's","Ezra Harvey",0.95,31.82
47,6,"221339","Old Country Buffet","Ezra Harvey",9.97,83.06
48,4,"142131","Old Country Buffet","Ezra Harvey",12.74,115.8
49,4,"083901","Wolfs Tavern","Ezra Harvey",0.0,118.77
50,7,"223206","Big Al's","Ezra Harvey",3.26,32.62
51,7,"094452","Romano's Macaroni Grill","Bruno Lloyd",1.21,121.28
52,3,"090548","Round-Up Saloon","Bruno Lloyd",10.25,68.36
53,4,"121426","Romano's Macaroni Grill","Bruno Lloyd",8.16,54.38
54,4,"172344","Kesler Sports Bar & Grill","Bruno Lloyd",1.04,104.43
55,5,"184953","Kesler Sports Bar & Grill","Bruno Lloyd",2.0,100.21
56,6,"202629","Kesler Sports Bar & Grill","Kenna Garza",6.24,77.96
57,2,"160936","Kesler Sports Bar & Grill","Kenna Garza",7.62,95.28
